team_name,game,games_w_holes,games_w_clashes,step,hole,clash,all_hole,avg_hole,avg_clash
Alice2021,35,0,0,235382,0,0,0,0.0,0.0
ARAS,35,0,0,245700,0,0,0,0.0,0.0
Austras2D,35,16,0,264061,60,0,60,1.71,0.0
CYRUS,36,0,0,245094,0,0,0,0.0,0.0
FRA-UNIted,37,0,0,249135,0,0,0,0.0,0.0
Hades2D,36,21,0,270819,118,0,118,3.28,0.0
HELIOS2021,35,1,1,237330,8,1,9,0.23,0.03
HfutEngine2021,38,0,0,258199,0,0,0,0.0,0.0
ITAndroids,38,0,0,263900,0,0,0,0.0,0.0
Jyosen2021,35,0,0,240719,0,0,0,0.0,0.0
MT2021,36,0,0,243064,0,0,0,0.0,0.0
Oxsy,35,0,0,239071,0,0,0,0.0,0.0
Persepolis,35,0,0,242902,0,0,0,0.0,0.0
RoboCIn,36,0,0,247861,0,0,0,0.0,0.0
ThunderLeague,36,0,0,250037,0,0,0,0.0,0.0
YuShan2021,36,0,0,242514,0,0,0,0.0,0.0
Total,574,38,1,3975788,186,1,187,0.32,0.0
