team_name,game,games_w_holes,games_w_black_holes,step,hole,black_hole,all_hole,avg_hole,avg_black_hole
Alice2D,29,5,1,194316,9,1,10,0.31,0.03
CYRUS,30,8,8,198547,22,16,38,0.73,0.53
FRA-UNIted,29,25,23,190579,89,66,155,3.07,2.28
Hades2D,29,4,3,197635,14,3,17,0.48,0.1
HELIOS2022,28,10,7,185370,16,8,24,0.57,0.29
Hfutengine2022,35,21,12,231639,160,33,193,4.57,0.94
ITAndroids,31,5,3,210323,13,4,17,0.42,0.13
MT2022,29,7,6,188788,11,7,18,0.38,0.24
Oxsy,29,10,9,192755,42,12,54,1.45,0.41
RoboCIn,31,8,6,208761,11,6,17,0.35,0.19
Tehran2D,33,13,11,228465,27,14,41,0.82,0.42
YuShan2022,33,10,9,218234,366,139,505,11.09,4.21
Total,366,126,98,2445412,780,309,1089,2.13,0.84
